branch_id	sub_tree	type	note
B163	Panthera_leo	terminal	
B164	Panthera_pardus	terminal	
B165	Paradoxurus_hermaphroditus	terminal	
B166	Crocuta_crocuta	terminal	
B167	Hyaena_hyaena	terminal	
B168	Cryptoprocta_ferox	terminal	
B169	Suricata_suricatta	terminal	
B170	Helogale_parvula	terminal	
B171	Mungos_mungo	terminal	
B172	Vulpes_lagopus	terminal	
B173	Vulpes_vulpes	terminal	
B174	Chrysocyon_brachyurus	terminal	
B175	Lycaon_pictus	terminal	
B176	Ailuropoda_melanoleuca	terminal	
B177	Helarctos_malayanus	terminal	
B178	Ursus_thibetanus_thibetanus	terminal	
B179	Ursus_americanus	terminal	
B180	Ursus_arctos_horribilis	terminal	
B181	Ursus_maritimus	terminal	
B182	Spilogale_gracilis	terminal	
B183	Ailurus_fulgens	terminal	
B184	Potos_flavus	terminal	
B185	Nasua_narica	terminal	
B186	Procyon_lotor	terminal	
B187	Bassariscus_astutus	terminal	
B188	Bassariscus_sumichrasti	terminal	
B189	Taxidea_taxus_jeffersonii	terminal	
B190	Mellivora_capensis	terminal	
B191	Martes_zibellina	terminal	
B192	Neovison_vison	terminal	
B193	Mustela_erminea	terminal	
B194	Mustela_putorius_furo	terminal	
B195	Pteronura_brasiliensis	terminal	
B196	Lontra_canadensis	terminal	
B197	Enhydra_lutris_kenyoni	terminal	
B198	Aonyx_cinereus	terminal	
B199	Lutra_lutra	terminal	
B200	Odobenus_rosmarus_divergens	terminal	
B201	Callorhinus_ursinus	terminal	
B202	Eumetopias_jubatus	terminal	
B203	Zalophus_californianus	terminal	
B204	Neomonachus_schauinslandi	terminal	
B205	Leptonychotes_weddellii	terminal	
B206	Mirounga_angustirostris	terminal	
B207	Mirounga_leonina	terminal	
B208	Erignathus_barbatus	terminal	
B209	Halichoerus_grypus	terminal	
B210	Phoca_largha	terminal	
B211	Phoca_vitulina	terminal	
B212	Camelus_ferus	terminal	
B213	Lama_guanicoe_cacsilensis	terminal	
B214	Vicugna_vicugna_mensalis	terminal	
B215	Babyrousa_celebensis	terminal	
B216	Catagonus_wagneri	terminal	
B217	Tragulus_javanicus	terminal	
B218	Tragulus_kanchil	terminal	
B219	Antilocapra_americana	terminal	
B220	Okapia_johnstoni	terminal	
B221	Giraffa_camelopardalis	terminal	
B222	Giraffa_tippelskirchi	terminal	
B223	Capreolus_pygargus	terminal	
B224	Hydropotes_inermis	terminal	
B225	Alces_alces	terminal	
B226	Rangifer_tarandus_granti	terminal	
B227	Odocoileus_hemionus_hemionus	terminal	
B228	Odocoileus_virginianus	terminal	
B229	Muntiacus_reevesi	terminal	
B230	Muntiacus_crinifrons	terminal	
B231	Muntiacus_muntjak	terminal	
B232	Axis_porcinus	terminal	
B233	Elaphurus_davidianus	terminal	
B234	Przewalskium_albirostris	terminal	
B235	Cervus_hanglu_yarkandensis	terminal	
B236	Moschus_berezovskii	terminal	
B237	Moschus_moschiferus	terminal	
B238	Oreotragus_oreotragus	terminal	
B239	Cephalophus_harveyi	terminal	
B240	Sylvicapra_grimmia	terminal	
B241	Procapra_przewalskii	terminal	
B242	Eudorcas_thomsonii	terminal	
B243	Nanger_granti	terminal	
B244	Antidorcas_marsupialis	terminal	
B245	Litocranius_walleri	terminal	
B246	Kobus_ellipsiprymnus	terminal	
B247	Kobus_leche_leche	terminal	
B248	Connochaetes_taurinus	terminal	
B249	Beatragus_hunteri	terminal	
B250	Damaliscus_lunatus	terminal	
B251	Oryx_dammah	terminal	
B252	Oryx_gazella	terminal	
B253	Hippotragus_equinus	terminal	
B254	Hippotragus_niger_niger	terminal	
B255	Oreamnos_americanus	terminal	
B256	Ammotragus_lervia	terminal	
B257	Capra_aegagrus	terminal	
B258	Capra_sibirica	terminal	
B259	Hemitragus_hylocrius	terminal	
B260	Ovis_orientalis	terminal	
B261	Ovis_canadensis	terminal	
B262	Ovis_nivicola_lydekkeri	terminal	
B263	Tragelaphus_strepsiceros	terminal	
B264	Bos_frontalis	terminal	
B265	Bos_mutus	terminal	
B266	Bubalus_bubalis	terminal	
B267	Syncerus_caffer	terminal	
B268	Hippopotamus_amphibius	terminal	
B269	Balaena_mysticetus	terminal	
B270	Eubalaena_glacialis	terminal	
B271	Eubalaena_australis	terminal	
B272	Eubalaena_japonica	terminal	
B273	Balaenoptera_acutorostrata_scammoni	terminal	
B274	Balaenoptera_bonaerensis	terminal	
B275	Eschrichtius_robustus	terminal	
B276	Megaptera_novaeangliae	terminal	
B277	Balaenoptera_edeni	terminal	
B278	Balaenoptera_musculus	terminal	
B279	Kogia_breviceps	terminal	
B280	Physeter_catodon	terminal	
B281	Platanista_minor	terminal	
B282	Mesoplodon_densirostris	terminal	
B283	Mesoplodon_stejnegeri	terminal	
B284	Mesoplodon_bidens	terminal	
B285	Mesoplodon_europaeus	terminal	
B286	Inia_geoffrensis	terminal	
B287	Lipotes_vexillifer	terminal	
B288	Delphinapterus_leucas	terminal	
B289	Monodon_monoceros	terminal	
B290	Neophocaena_asiaeorientalis_asiaeorientalis	terminal	
B291	Phocoena_sinus	terminal	
B292	Phocoena_phocoena	terminal	
B293	Orcinus_orca	terminal	
B294	Cephalorhynchus_commersonii	terminal	
B295	Lagenorhynchus_obliquidens	terminal	
B296	Sousa_chinensis	terminal	
B297	Tursiops_aduncus	terminal	
B298	Tursiops_truncatus	terminal	
B299	Steno_bredanensis	terminal	
B300	Grampus_griseus	terminal	
B301	Globicephala_melas	terminal	
B302	Peponocephala_electra	terminal	
B303	(Choloepus_didactylus:B3,Choloepus_hoffmanni:B4)	internal	
B304	(Myrmecophaga_tridactyla:B2,(Choloepus_didactylus:B3,Choloepus_hoffmanni:B4):B303)	internal	
B305	(Dasypus_novemcinctus:B1,(Myrmecophaga_tridactyla:B2,(Choloepus_didactylus:B3,Choloepus_hoffmanni:B4):B303):B304)	internal	
B306	(Chrysochloris_asiatica:B7,Echinops_telfairi:B8)	internal	
B307	(Elephantulus_edwardii:B6,(Chrysochloris_asiatica:B7,Echinops_telfairi:B8):B306)	internal	
B308	(Orycteropus_afer_afer:B5,(Elephantulus_edwardii:B6,(Chrysochloris_asiatica:B7,Echinops_telfairi:B8):B306):B307)	internal	
B309	(Loxodonta_africana:B9,Elephas_maximus:B10)	internal	
