branch_id	branch_type	n_shared_genes	n_fix_non_na	n_free_non_na	support_percent	discordance_percent
B516	internal	5	5	5	100.0000000000	0.0000000000
B517	internal	5	5	1	20.0000000000	80.0000000000
B518	internal	5	5	2	40.0000000000	60.0000000000
B519	internal	5	5	4	80.0000000000	20.0000000000
B520	internal	5	5	5	100.0000000000	0.0000000000
B521	internal	5	4	4	100.0000000000	0.0000000000
B522	internal	5	5	5	100.0000000000	0.0000000000
B523	internal	5	5	5	100.0000000000	0.0000000000
B524	internal	5	5	2	40.0000000000	60.0000000000
B525	internal	5	5	4	80.0000000000	20.0000000000
B526	internal	5	5	5	100.0000000000	0.0000000000
B527	internal	5	5	5	100.0000000000	0.0000000000
B528	internal	5	4	4	100.0000000000	0.0000000000
B529	internal	5	4	4	100.0000000000	0.0000000000
B530	internal	5	4	4	100.0000000000	0.0000000000
B531	internal	5	4	4	100.0000000000	0.0000000000
B532	internal	5	5	2	40.0000000000	60.0000000000
B533	internal	5	5	1	20.0000000000	80.0000000000
B534	internal	5	4	4	100.0000000000	0.0000000000
B535	internal	5	4	3	75.0000000000	25.0000000000
B536	internal	5	4	4	100.0000000000	0.0000000000
B537	internal	5	3	3	100.0000000000	0.0000000000
B538	internal	5	4	4	100.0000000000	0.0000000000
B539	internal	5	5	5	100.0000000000	0.0000000000
B540	internal	5	5	4	80.0000000000	20.0000000000
B541	internal	5	5	5	100.0000000000	0.0000000000
B542	internal	5	5	2	40.0000000000	60.0000000000
B543	internal	5	5	5	100.0000000000	0.0000000000
B544	internal	5	5	3	60.0000000000	40.0000000000
B545	internal	5	5	5	100.0000000000	0.0000000000
B546	internal	5	5	4	80.0000000000	20.0000000000
B547	internal	5	5	5	100.0000000000	0.0000000000
B548	internal	5	4	3	75.0000000000	25.0000000000
B549	internal	5	4	2	50.0000000000	50.0000000000
B550	internal	5	5	5	100.0000000000	0.0000000000
B551	internal	5	5	5	100.0000000000	0.0000000000
B552	internal	5	5	3	60.0000000000	40.0000000000
B553	internal	5	4	4	100.0000000000	0.0000000000
B554	internal	5	4	4	100.0000000000	0.0000000000
B555	internal	5	5	5	100.0000000000	0.0000000000
B556	internal	5	5	4	80.0000000000	20.0000000000
B557	internal	5	5	2	40.0000000000	60.0000000000
B558	internal	5	5	4	80.0000000000	20.0000000000
B559	internal	5	5	4	80.0000000000	20.0000000000
B560	internal	5	5	1	20.0000000000	80.0000000000
B561	internal	5	5	2	40.0000000000	60.0000000000
B562	internal	5	5	5	100.0000000000	0.0000000000
B563	internal	5	4	3	75.0000000000	25.0000000000
B564	internal	5	4	1	25.0000000000	75.0000000000
B565	internal	5	4	1	25.0000000000	75.0000000000
B566	internal	5	5	2	40.0000000000	60.0000000000
B567	internal	5	5	5	100.0000000000	0.0000000000
B568	internal	5	5	5	100.0000000000	0.0000000000
B569	internal	5	5	5	100.0000000000	0.0000000000
B570	internal	5	4	4	100.0000000000	0.0000000000
B571	internal	5	5	1	20.0000000000	80.0000000000
B572	internal	5	5	5	100.0000000000	0.0000000000
B573	internal	5	4	3	75.0000000000	25.0000000000
B574	internal	5	4	4	100.0000000000	0.0000000000
B575	internal	5	4	0	0.0000000000	100.0000000000
B576	internal	5	4	4	100.0000000000	0.0000000000
B577	internal	5	4	3	75.0000000000	25.0000000000
B578	internal	5	5	3	60.0000000000	40.0000000000
B579	internal	5	5	3	60.0000000000	40.0000000000
B580	internal	5	5	3	60.0000000000	40.0000000000
B581	internal	5	4	3	75.0000000000	25.0000000000
B582	internal	5	4	2	50.0000000000	50.0000000000
B583	internal	5	5	3	60.0000000000	40.0000000000
B584	internal	5	5	0	0.0000000000	100.0000000000
B585	internal	5	5	2	40.0000000000	60.0000000000
B586	internal	5	4	4	100.0000000000	0.0000000000
B587	internal	5	4	4	100.0000000000	0.0000000000
B588	internal	5	5	5	100.0000000000	0.0000000000
B589	internal	5	5	3	60.0000000000	40.0000000000
B590	internal	5	5	4	80.0000000000	20.0000000000
B591	internal	5	5	4	80.0000000000	20.0000000000
B592	internal	5	5	5	100.0000000000	0.0000000000
B593	internal	5	5	3	60.0000000000	40.0000000000
B594	internal	5	5	3	60.0000000000	40.0000000000
B595	internal	5	5	2	40.0000000000	60.0000000000
B596	internal	5	5	4	80.0000000000	20.0000000000
B597	internal	5	5	0	0.0000000000	100.0000000000
B598	internal	5	5	0	0.0000000000	100.0000000000
B599	internal	5	5	0	0.0000000000	100.0000000000
B600	internal	5	5	2	40.0000000000	60.0000000000
B601	internal	5	5	5	100.0000000000	0.0000000000
